id,name,sku,price,description,images
61,Product 61,SKU1061,160.0,This is the description for product 61.,https://example.com/images/product61.jpg
62,Product 62,SKU1062,162.5,This is the description for product 62.,https://example.com/images/product62.jpg
63,Product 63,SKU1063,165.0,This is the description for product 63.,https://example.com/images/product63.jpg
64,Product 64,SKU1064,167.5,This is the description for product 64.,https://example.com/images/product64.jpg
65,Product 65,SKU1065,170.0,This is the description for product 65.,https://example.com/images/product65.jpg
66,Product 66,SKU1066,172.5,This is the description for product 66.,https://example.com/images/product66.jpg
67,Product 67,SKU1067,175.0,This is the description for product 67.,https://example.com/images/product67.jpg
68,Product 68,SKU1068,177.5,This is the description for product 68.,https://example.com/images/product68.jpg
69,Product 69,SKU1069,180.0,This is the description for product 69.,https://example.com/images/product69.jpg
70,Product 70,SKU1070,182.5,This is the description for product 70.,https://example.com/images/product70.jpg
71,Product 71,SKU1071,185.0,This is the description for product 71.,https://example.com/images/product71.jpg
72,Product 72,SKU1072,187.5,This is the description for product 72.,https://example.com/images/product72.jpg
73,Product 73,SKU1073,190.0,This is the description for product 73.,https://example.com/images/product73.jpg
74,Product 74,SKU1074,192.5,This is the description for product 74.,https://example.com/images/product74.jpg
75,Product 75,SKU1075,195.0,This is the description for product 75.,https://example.com/images/product75.jpg
76,Product 76,SKU1076,197.5,This is the description for product 76.,https://example.com/images/product76.jpg
77,Product 77,SKU1077,200.0,This is the description for product 77.,https://example.com/images/product77.jpg
78,Product 78,SKU1078,202.5,This is the description for product 78.,https://example.com/images/product78.jpg
79,Product 79,SKU1079,205.0,This is the description for product 79.,https://example.com/images/product79.jpg
80,Product 80,SKU1080,207.5,This is the description for product 80.,https://example.com/images/product80.jpg
81,Product 81,SKU1081,210.0,This is the description for product 81.,https://example.com/images/product81.jpg
82,Product 82,SKU1082,212.5,This is the description for product 82.,https://example.com/images/product82.jpg
83,Product 83,SKU1083,215.0,This is the description for product 83.,https://example.com/images/product83.jpg
84,Product 84,SKU1084,217.5,This is the description for product 84.,https://example.com/images/product84.jpg
85,Product 85,SKU1085,220.0,This is the description for product 85.,https://example.com/images/product85.jpg
86,Product 86,SKU1086,222.5,This is the description for product 86.,https://example.com/images/product86.jpg
87,Product 87,SKU1087,225.0,This is the description for product 87.,https://example.com/images/product87.jpg
88,Product 88,SKU1088,227.5,This is the description for product 88.,https://example.com/images/product88.jpg
89,Product 89,SKU1089,230.0,This is the description for product 89.,https://example.com/images/product89.jpg
90,Product 90,SKU1090,232.5,This is the description for product 90.,https://example.com/images/product90.jpg
91,Product 91,SKU1091,235.0,This is the description for product 91.,https://example.com/images/product91.jpg
92,Product 92,SKU1092,237.5,This is the description for product 92.,https://example.com/images/product92.jpg
93,Product 93,SKU1093,240.0,This is the description for product 93.,https://example.com/images/product93.jpg
94,Product 94,SKU1094,242.5,This is the description for product 94.,https://example.com/images/product94.jpg
95,Product 95,SKU1095,245.0,This is the description for product 95.,https://example.com/images/product95.jpg
96,Product 96,SKU1096,247.5,This is the description for product 96.,https://example.com/images/product96.jpg
97,Product 97,SKU1097,250.0,This is the description for product 97.,https://example.com/images/product97.jpg
98,Product 98,SKU1098,252.5,This is the description for product 98.,https://example.com/images/product98.jpg
99,Product 99,SKU1099,255.0,This is the description for product 99.,https://example.com/images/product99.jpg
100,Product 100,SKU1100,257.5,This is the description for product 100.,https://example.com/images/product100.jpg
101,Product 101,SKU1101,10.0,This is the description for product 101.,https://example.com/images/product101.jpg
102,Product 102,SKU1102,12.5,This is the description for product 102.,https://example.com/images/product102.jpg
103,Product 103,SKU1103,15.0,This is the description for product 103.,https://example.com/images/product103.jpg
104,Product 104,SKU1104,17.5,This is the description for product 104.,https://example.com/images/product104.jpg
105,Product 105,SKU1105,20.0,This is the description for product 105.,https://example.com/images/product105.jpg
106,Product 106,SKU1106,22.5,This is the description for product 106.,https://example.com/images/product106.jpg
107,Product 107,SKU1107,25.0,This is the description for product 107.,https://example.com/images/product107.jpg
108,Product 108,SKU1108,27.5,This is the description for product 108.,https://example.com/images/product108.jpg
109,Product 109,SKU1109,30.0,This is the description for product 109.,https://example.com/images/product109.jpg
110,Product 110,SKU1110,32.5,This is the description for product 110.,https://example.com/images/product110.jpg
111,Product 111,SKU1111,35.0,This is the description for product 111.,https://example.com/images/product111.jpg
112,Product 112,SKU1112,37.5,This is the description for product 112.,https://example.com/images/product112.jpg
113,Product 113,SKU1113,40.0,This is the description for product 113.,https://example.com/images/product113.jpg
114,Product 114,SKU1114,42.5,This is the description for product 114.,https://example.com/images/product114.jpg
115,Product 115,SKU1115,45.0,This is the description for product 115.,https://example.com/images/product115.jpg
116,Product 116,SKU1116,47.5,This is the description for product 116.,https://example.com/images/product116.jpg
117,Product 117,SKU1117,50.0,This is the description for product 117.,https://example.com/images/product117.jpg
118,Product 118,SKU1118,52.5,This is the description for product 118.,https://example.com/images/product118.jpg
119,Product 119,SKU1119,55.0,This is the description for product 119.,https://example.com/images/product119.jpg
120,Product 120,SKU1120,57.5,This is the description for product 120.,https://example.com/images/product120.jpg
121,Product 121,SKU1121,60.0,This is the description for product 121.,https://example.com/images/product121.jpg
122,Product 122,SKU1122,62.5,This is the description for product 122.,https://example.com/images/product122.jpg
123,Product 123,SKU1123,65.0,This is the description for product 123.,https://example.com/images/product123.jpg
124,Product 124,SKU1124,67.5,This is the description for product 124.,https://example.com/images/product124.jpg
125,Product 125,SKU1125,70.0,This is the description for product 125.,https://example.com/images/product125.jpg
126,Product 126,SKU1126,72.5,This is the description for product 126.,https://example.com/images/product126.jpg
127,Product 127,SKU1127,75.0,This is the description for product 127.,https://example.com/images/product127.jpg
128,Product 128,SKU1128,77.5,This is the description for product 128.,https://example.com/images/product128.jpg
129,Product 129,SKU1129,80.0,This is the description for product 129.,https://example.com/images/product129.jpg
130,Product 130,SKU1130,82.5,This is the description for product 130.,https://example.com/images/product130.jpg
131,Product 131,SKU1131,85.0,This is the description for product 131.,https://example.com/images/product131.jpg
132,Product 132,SKU1132,87.5,This is the description for product 132.,https://example.com/images/product132.jpg
133,Product 133,SKU1133,90.0,This is the description for product 133.,https://example.com/images/product133.jpg
134,Product 134,SKU1134,92.5,This is the description for product 134.,https://example.com/images/product134.jpg
135,Product 135,SKU1135,95.0,This is the description for product 135.,https://example.com/images/product135.jpg
136,Product 136,SKU1136,97.5,This is the description for product 136.,https://example.com/images/product136.jpg
137,Product 137,SKU1137,100.0,This is the description for product 137.,https://example.com/images/product137.jpg
138,Product 138,SKU1138,102.5,This is the description for product 138.,https://example.com/images/product138.jpg
139,Product 139,SKU1139,105.0,This is the description for product 139.,https://example.com/images/product139.jpg
140,Product 140,SKU1140,107.5,This is the description for product 140.,https://example.com/images/product140.jpg
141,Product 141,SKU1141,110.0,This is the description for product 141.,https://example.com/images/product141.jpg
142,Product 142,SKU1142,112.5,This is the description for product 142.,https://example.com/images/product142.jpg
143,Product 143,SKU1143,115.0,This is the description for product 143.,https://example.com/images/product143.jpg
144,Product 144,SKU1144,117.5,This is the description for product 144.,https://example.com/images/product144.jpg
145,Product 145,SKU1145,120.0,This is the description for product 145.,https://example.com/images/product145.jpg
146,Product 146,SKU1146,122.5,This is the description for product 146.,https://example.com/images/product146.jpg
147,Product 147,SKU1147,125.0,This is the description for product 147.,https://example.com/images/product147.jpg
148,Product 148,SKU1148,127.5,This is the description for product 148.,https://example.com/images/product148.jpg
149,Product 149,SKU1149,130.0,This is the description for product 149.,https://example.com/images/product149.jpg
150,Product 150,SKU1150,132.5,This is the description for product 150.,https://example.com/images/product150.jpg
151,Product 151,SKU1151,135.0,This is the description for product 151.,https://example.com/images/product151.jpg
152,Product 152,SKU1152,137.5,This is the description for product 152.,https://example.com/images/product152.jpg
153,Product 153,SKU1153,140.0,This is the description for product 153.,https://example.com/images/product153.jpg
154,Product 154,SKU1154,142.5,This is the description for product 154.,https://example.com/images/product154.jpg
155,Product 155,SKU1155,145.0,This is the description for product 155.,https://example.com/images/product155.jpg
156,Product 156,SKU1156,147.5,This is the description for product 156.,https://example.com/images/product156.jpg
157,Product 157,SKU1157,150.0,This is the description for product 157.,https://example.com/images/product157.jpg
158,Product 158,SKU1158,152.5,This is the description for product 158.,https://example.com/images/product158.jpg
159,Product 159,SKU1159,155.0,This is the description for product 159.,https://example.com/images/product159.jpg
160,Product 160,SKU1160,157.5,This is the description for product 160.,https://example.com/images/product160.jpg
161,Product 161,SKU1161,160.0,This is the description for product 161.,https://example.com/images/product161.jpg
162,Product 162,SKU1162,162.5,This is the description for product 162.,https://example.com/images/product162.jpg
163,Product 163,SKU1163,165.0,This is the description for product 163.,https://example.com/images/product163.jpg
164,Product 164,SKU1164,167.5,This is the description for product 164.,https://example.com/images/product164.jpg
165,Product 165,SKU1165,170.0,This is the description for product 165.,https://example.com/images/product165.jpg
166,Product 166,SKU1166,172.5,This is the description for product 166.,https://example.com/images/product166.jpg
167,Product 167,SKU1167,175.0,This is the description for product 167.,https://example.com/images/product167.jpg
168,Product 168,SKU1168,177.5,This is the description for product 168.,https://example.com/images/product168.jpg
169,Product 169,SKU1169,180.0,This is the description for product 169.,https://example.com/images/product169.jpg
170,Product 170,SKU1170,182.5,This is the description for product 170.,https://example.com/images/product170.jpg
171,Product 171,SKU1171,185.0,This is the description for product 171.,https://example.com/images/product171.jpg
172,Product 172,SKU1172,187.5,This is the description for product 172.,https://example.com/images/product172.jpg
173,Product 173,SKU1173,190.0,This is the description for product 173.,https://example.com/images/product173.jpg
174,Product 174,SKU1174,192.5,This is the description for product 174.,https://example.com/images/product174.jpg
175,Product 175,SKU1175,195.0,This is the description for product 175.,https://example.com/images/product175.jpg
176,Product 176,SKU1176,197.5,This is the description for product 176.,https://example.com/images/product176.jpg
177,Product 177,SKU1177,200.0,This is the description for product 177.,https://example.com/images/product177.jpg
178,Product 178,SKU1178,202.5,This is the description for product 178.,https://example.com/images/product178.jpg
179,Product 179,SKU1179,205.0,This is the description for product 179.,https://example.com/images/product179.jpg
180,Product 180,SKU1180,207.5,This is the description for product 180.,https://example.com/images/product180.jpg
181,Product 181,SKU1181,210.0,This is the description for product 181.,https://example.com/images/product181.jpg
182,Product 182,SKU1182,212.5,This is the description for product 182.,https://example.com/images/product182.jpg
183,Product 183,SKU1183,215.0,This is the description for product 183.,https://example.com/images/product183.jpg
184,Product 184,SKU1184,217.5,This is the description for product 184.,https://example.com/images/product184.jpg
185,Product 185,SKU1185,220.0,This is the description for product 185.,https://example.com/images/product185.jpg
186,Product 186,SKU1186,222.5,This is the description for product 186.,https://example.com/images/product186.jpg
187,Product 187,SKU1187,225.0,This is the description for product 187.,https://example.com/images/product187.jpg
188,Product 188,SKU1188,227.5,This is the description for product 188.,https://example.com/images/product188.jpg
189,Product 189,SKU1189,230.0,This is the description for product 189.,https://example.com/images/product189.jpg
190,Product 190,SKU1190,232.5,This is the description for product 190.,https://example.com/images/product190.jpg
191,Product 191,SKU1191,235.0,This is the description for product 191.,https://example.com/images/product191.jpg
192,Product 192,SKU1192,237.5,This is the description for product 192.,https://example.com/images/product192.jpg
193,Product 193,SKU1193,240.0,This is the description for product 193.,https://example.com/images/product193.jpg
194,Product 194,SKU1194,242.5,This is the description for product 194.,https://example.com/images/product194.jpg
195,Product 195,SKU1195,245.0,This is the description for product 195.,https://example.com/images/product195.jpg
196,Product 196,SKU1196,247.5,This is the description for product 196.,https://example.com/images/product196.jpg
197,Product 197,SKU1197,250.0,This is the description for product 197.,https://example.com/images/product197.jpg
198,Product 198,SKU1198,252.5,This is the description for product 198.,https://example.com/images/product198.jpg
199,Product 199,SKU1199,255.0,This is the description for product 199.,https://example.com/images/product199.jpg
200,Product 200,SKU1200,257.5,This is the description for product 200.,https://example.com/images/product200.jpg
201,Product 201,SKU1201,10.0,This is the description for product 201.,https://example.com/images/product201.jpg
202,Product 202,SKU1202,12.5,This is the description for product 202.,https://example.com/images/product202.jpg
203,Product 203,SKU1203,15.0,This is the description for product 203.,https://example.com/images/product203.jpg
204,Product 204,SKU1204,17.5,This is the description for product 204.,https://example.com/images/product204.jpg
205,Product 205,SKU1205,20.0,This is the description for product 205.,https://example.com/images/product205.jpg
206,Product 206,SKU1206,22.5,This is the description for product 206.,https://example.com/images/product206.jpg
207,Product 207,SKU1207,25.0,This is the description for product 207.,https://example.com/images/product207.jpg
208,Product 208,SKU1208,27.5,This is the description for product 208.,https://example.com/images/product208.jpg
209,Product 209,SKU1209,30.0,This is the description for product 209.,https://example.com/images/product209.jpg
210,Product 210,SKU1210,32.5,This is the description for product 210.,https://example.com/images/product210.jpg
211,Product 211,SKU1211,35.0,This is the description for product 211.,https://example.com/images/product211.jpg
212,Product 212,SKU1212,37.5,This is the description for product 212.,https://example.com/images/product212.jpg
213,Product 213,SKU1213,40.0,This is the description for product 213.,https://example.com/images/product213.jpg
214,Product 214,SKU1214,42.5,This is the description for product 214.,https://example.com/images/product214.jpg
215,Product 215,SKU1215,45.0,This is the description for product 215.,https://example.com/images/product215.jpg
216,Product 216,SKU1216,47.5,This is the description for product 216.,https://example.com/images/product216.jpg
217,Product 217,SKU1217,50.0,This is the description for product 217.,https://example.com/images/product217.jpg
218,Product 218,SKU1218,52.5,This is the description for product 218.,https://example.com/images/product218.jpg
219,Product 219,SKU1219,55.0,This is the description for product 219.,https://example.com/images/product219.jpg
220,Product 220,SKU1220,57.5,This is the description for product 220.,https://example.com/images/product220.jpg
221,Product 221,SKU1221,60.0,This is the description for product 221.,https://example.com/images/product221.jpg
222,Product 222,SKU1222,62.5,This is the description for product 222.,https://example.com/images/product222.jpg
223,Product 223,SKU1223,65.0,This is the description for product 223.,https://example.com/images/product223.jpg
224,Product 224,SKU1224,67.5,This is the description for product 224.,https://example.com/images/product224.jpg
225,Product 225,SKU1225,70.0,This is the description for product 225.,https://example.com/images/product225.jpg
226,Product 226,SKU1226,72.5,This is the description for product 226.,https://example.com/images/product226.jpg
227,Product 227,SKU1227,75.0,This is the description for product 227.,https://example.com/images/product227.jpg
228,Product 228,SKU1228,77.5,This is the description for product 228.,https://example.com/images/product228.jpg
229,Product 229,SKU1229,80.0,This is the description for product 229.,https://example.com/images/product229.jpg
230,Product 230,SKU1230,82.5,This is the description for product 230.,https://example.com/images/product230.jpg
231,Product 231,SKU1231,85.0,This is the description for product 231.,https://example.com/images/product231.jpg
232,Product 232,SKU1232,87.5,This is the description for product 232.,https://example.com/images/product232.jpg
233,Product 233,SKU1233,90.0,This is the description for product 233.,https://example.com/images/product233.jpg
234,Product 234,SKU1234,92.5,This is the description for product 234.,https://example.com/images/product234.jpg
235,Product 235,SKU1235,95.0,This is the description for product 235.,https://example.com/images/product235.jpg
236,Product 236,SKU1236,97.5,This is the description for product 236.,https://example.com/images/product236.jpg
237,Product 237,SKU1237,100.0,This is the description for product 237.,https://example.com/images/product237.jpg
238,Product 238,SKU1238,102.5,This is the description for product 238.,https://example.com/images/product238.jpg
239,Product 239,SKU1239,105.0,This is the description for product 239.,https://example.com/images/product239.jpg
240,Product 240,SKU1240,107.5,This is the description for product 240.,https://example.com/images/product240.jpg
241,Product 241,SKU1241,110.0,This is the description for product 241.,https://example.com/images/product241.jpg
242,Product 242,SKU1242,112.5,This is the description for product 242.,https://example.com/images/product242.jpg
243,Product 243,SKU1243,115.0,This is the description for product 243.,https://example.com/images/product243.jpg
244,Product 244,SKU1244,117.5,This is the description for product 244.,https://example.com/images/product244.jpg
245,Product 245,SKU1245,120.0,This is the description for product 245.,https://example.com/images/product245.jpg
246,Product 246,SKU1246,122.5,This is the description for product 246.,https://example.com/images/product246.jpg
247,Product 247,SKU1247,125.0,This is the description for product 247.,https://example.com/images/product247.jpg
248,Product 248,SKU1248,127.5,This is the description for product 248.,https://example.com/images/product248.jpg
249,Product 249,SKU1249,130.0,This is the description for product 249.,https://example.com/images/product249.jpg
250,Product 250,SKU1250,132.5,This is the description for product 250.,https://example.com/images/product250.jpg
251,Product 251,SKU1251,135.0,This is the description for product 251.,https://example.com/images/product251.jpg
252,Product 252,SKU1252,137.5,This is the description for product 252.,https://example.com/images/product252.jpg
253,Product 253,SKU1253,140.0,This is the description for product 253.,https://example.com/images/product253.jpg
254,Product 254,SKU1254,142.5,This is the description for product 254.,https://example.com/images/product254.jpg
255,Product 255,SKU1255,145.0,This is the description for product 255.,https://example.com/images/product255.jpg
256,Product 256,SKU1256,147.5,This is the description for product 256.,https://example.com/images/product256.jpg
257,Product 257,SKU1257,150.0,This is the description for product 257.,https://example.com/images/product257.jpg
258,Product 258,SKU1258,152.5,This is the description for product 258.,https://example.com/images/product258.jpg
259,Product 259,SKU1259,155.0,This is the description for product 259.,https://example.com/images/product259.jpg
260,Product 260,SKU1260,157.5,This is the description for product 260.,https://example.com/images/product260.jpg
261,Product 261,SKU1261,160.0,This is the description for product 261.,https://example.com/images/product261.jpg
262,Product 262,SKU1262,162.5,This is the description for product 262.,https://example.com/images/product262.jpg
263,Product 263,SKU1263,165.0,This is the description for product 263.,https://example.com/images/product263.jpg
264,Product 264,SKU1264,167.5,This is the description for product 264.,https://example.com/images/product264.jpg
265,Product 265,SKU1265,170.0,This is the description for product 265.,https://example.com/images/product265.jpg
266,Product 266,SKU1266,172.5,This is the description for product 266.,https://example.com/images/product266.jpg
267,Product 267,SKU1267,175.0,This is the description for product 267.,https://example.com/images/product267.jpg
268,Product 268,SKU1268,177.5,This is the description for product 268.,https://example.com/images/product268.jpg
269,Product 269,SKU1269,180.0,This is the description for product 269.,https://example.com/images/product269.jpg
270,Product 270,SKU1270,182.5,This is the description for product 270.,https://example.com/images/product270.jpg
271,Product 271,SKU1271,185.0,This is the description for product 271.,https://example.com/images/product271.jpg
272,Product 272,SKU1272,187.5,This is the description for product 272.,https://example.com/images/product272.jpg
273,Product 273,SKU1273,190.0,This is the description for product 273.,https://example.com/images/product273.jpg
274,Product 274,SKU1274,192.5,This is the description for product 274.,https://example.com/images/product274.jpg
275,Product 275,SKU1275,195.0,This is the description for product 275.,https://example.com/images/product275.jpg
276,Product 276,SKU1276,197.5,This is the description for product 276.,https://example.com/images/product276.jpg
277,Product 277,SKU1277,200.0,This is the description for product 277.,https://example.com/images/product277.jpg
278,Product 278,SKU1278,202.5,This is the description for product 278.,https://example.com/images/product278.jpg
279,Product 279,SKU1279,205.0,This is the description for product 279.,https://example.com/images/product279.jpg
280,Product 280,SKU1280,207.5,This is the description for product 280.,https://example.com/images/product280.jpg
281,Product 281,SKU1281,210.0,This is the description for product 281.,https://example.com/images/product281.jpg
282,Product 282,SKU1282,212.5,This is the description for product 282.,https://example.com/images/product282.jpg
283,Product 283,SKU1283,215.0,This is the description for product 283.,https://example.com/images/product283.jpg
284,Product 284,SKU1284,217.5,This is the description for product 284.,https://example.com/images/product284.jpg
285,Product 285,SKU1285,220.0,This is the description for product 285.,https://example.com/images/product285.jpg
286,Product 286,SKU1286,222.5,This is the description for product 286.,https://example.com/images/product286.jpg
287,Product 287,SKU1287,225.0,This is the description for product 287.,https://example.com/images/product287.jpg
288,Product 288,SKU1288,227.5,This is the description for product 288.,https://example.com/images/product288.jpg
289,Product 289,SKU1289,230.0,This is the description for product 289.,https://example.com/images/product289.jpg
290,Product 290,SKU1290,232.5,This is the description for product 290.,https://example.com/images/product290.jpg
291,Product 291,SKU1291,235.0,This is the description for product 291.,https://example.com/images/product291.jpg
292,Product 292,SKU1292,237.5,This is the description for product 292.,https://example.com/images/product292.jpg
293,Product 293,SKU1293,240.0,This is the description for product 293.,https://example.com/images/product293.jpg
294,Product 294,SKU1294,242.5,This is the description for product 294.,https://example.com/images/product294.jpg
295,Product 295,SKU1295,245.0,This is the description for product 295.,https://example.com/images/product295.jpg
296,Product 296,SKU1296,247.5,This is the description for product 296.,https://example.com/images/product296.jpg
297,Product 297,SKU1297,250.0,This is the description for product 297.,https://example.com/images/product297.jpg
298,Product 298,SKU1298,252.5,This is the description for product 298.,https://example.com/images/product298.jpg
299,Product 299,SKU1299,255.0,This is the description for product 299.,https://example.com/images/product299.jpg
300,Product 300,SKU1300,257.5,This is the description for product 300.,https://example.com/images/product300.jpg
301,Product 301,SKU1301,10.0,This is the description for product 301.,https://example.com/images/product301.jpg
302,Product 302,SKU1302,12.5,This is the description for product 302.,https://example.com/images/product302.jpg
303,Product 303,SKU1303,15.0,This is the description for product 303.,https://example.com/images/product303.jpg
304,Product 304,SKU1304,17.5,This is the description for product 304.,https://example.com/images/product304.jpg
305,Product 305,SKU1305,20.0,This is the description for product 305.,https://example.com/images/product305.jpg
306,Product 306,SKU1306,22.5,This is the description for product 306.,https://example.com/images/product306.jpg
307,Product 307,SKU1307,25.0,This is the description for product 307.,https://example.com/images/product307.jpg
308,Product 308,SKU1308,27.5,This is the description for product 308.,https://example.com/images/product308.jpg
309,Product 309,SKU1309,30.0,This is the description for product 309.,https://example.com/images/product309.jpg
310,Product 310,SKU1310,32.5,This is the description for product 310.,https://example.com/images/product310.jpg
311,Product 311,SKU1311,35.0,This is the description for product 311.,https://example.com/images/product311.jpg
312,Product 312,SKU1312,37.5,This is the description for product 312.,https://example.com/images/product312.jpg
313,Product 313,SKU1313,40.0,This is the description for product 313.,https://example.com/images/product313.jpg
314,Product 314,SKU1314,42.5,This is the description for product 314.,https://example.com/images/product314.jpg
315,Product 315,SKU1315,45.0,This is the description for product 315.,https://example.com/images/product315.jpg
316,Product 316,SKU1316,47.5,This is the description for product 316.,https://example.com/images/product316.jpg
317,Product 317,SKU1317,50.0,This is the description for product 317.,https://example.com/images/product317.jpg
318,Product 318,SKU1318,52.5,This is the description for product 318.,https://example.com/images/product318.jpg
319,Product 319,SKU1319,55.0,This is the description for product 319.,https://example.com/images/product319.jpg
320,Product 320,SKU1320,57.5,This is the description for product 320.,https://example.com/images/product320.jpg
321,Product 321,SKU1321,60.0,This is the description for product 321.,https://example.com/images/product321.jpg
322,Product 322,SKU1322,62.5,This is the description for product 322.,https://example.com/images/product322.jpg
323,Product 323,SKU1323,65.0,This is the description for product 323.,https://example.com/images/product323.jpg
324,Product 324,SKU1324,67.5,This is the description for product 324.,https://example.com/images/product324.jpg
325,Product 325,SKU1325,70.0,This is the description for product 325.,https://example.com/images/product325.jpg
326,Product 326,SKU1326,72.5,This is the description for product 326.,https://example.com/images/product326.jpg
327,Product 327,SKU1327,75.0,This is the description for product 327.,https://example.com/images/product327.jpg
328,Product 328,SKU1328,77.5,This is the description for product 328.,https://example.com/images/product328.jpg
329,Product 329,SKU1329,80.0,This is the description for product 329.,https://example.com/images/product329.jpg
330,Product 330,SKU1330,82.5,This is the description for product 330.,https://example.com/images/product330.jpg
331,Product 331,SKU1331,85.0,This is the description for product 331.,https://example.com/images/product331.jpg
332,Product 332,SKU1332,87.5,This is the description for product 332.,https://example.com/images/product332.jpg
